title,content_type,year,certificate,duration,genre,rating,votes
The Lord of the Rings: The Fellowship of the Ring,Movie,2001,PG-13,178,"Action, Adventure, Drama",8.8,1844055
The Lord of the Rings: The Return of the King,Movie,2003,PG-13,201,"Action, Adventure, Drama",9.0,1819157
The Lord of the Rings: The Two Towers,Movie,2002,PG-13,179,"Action, Adventure, Drama",8.8,1642708
Gladiator,Movie,2000,R,155,"Action, Adventure, Drama",8.5,1481531
The Departed,Movie,2006,R,151,"Crime, Drama, Thriller",8.5,1310171
Titanic,Movie,1997,PG-13,194,"Drama, Romance",7.9,1158746
Stranger Things,TV Show,2016,TV-14,51,"Drama, Fantasy, Horror",8.7,1149889
Léon: The Professional,Movie,1994,R,110,"Action, Crime, Drama",8.5,1147345
Kill Bill: Vol. 1,Movie,2003,R,111,"Action, Crime, Drama",8.2,1103348
Jurassic Park,Movie,1993,PG-13,127,"Action, Adventure, Sci-Fi",8.2,978402
Gone Girl,Movie,2014,R,149,"Drama, Mystery, Thriller",8.1,971322
The Hobbit: An Unexpected Journey,Movie,2012,PG-13,169,"Adventure, Fantasy",7.8,820021
Taxi Driver,Movie,1976,R,114,"Crime, Drama",8.2,819599
300,Movie,2006,R,117,"Action, Drama",7.6,815351
Spider-Man,Movie,2002,PG-13,121,"Action, Adventure, Sci-Fi",7.4,809904
The Revenant,Movie,2015,R,156,"Action, Adventure, Drama",8.0,794404
Captain America: Civil War,Movie,2016,PG-13,147,"Action, Adventure, Sci-Fi",7.8,776556
Spirited Away,Movie,2001,PG,125,"Animation, Adventure, Family",8.6,751180
Kill Bill: Vol. 2,Movie,2004,R,137,"Action, Crime, Thriller",8.0,749653
Batman v Superman: Dawn of Justice,Movie,2016,PG-13,152,"Action, Adventure, Sci-Fi",6.4,694619
Arrival,Movie,2016,PG-13,116,"Drama, Mystery, Sci-Fi",7.9,684855
2001: A Space Odyssey,Movie,1968,G,149,"Adventure, Sci-Fi",8.3,662697
Now You See Me,Movie,2013,PG-13,115,"Crime, Mystery, Thriller",7.2,654721
Birdman or (The Unexpected Virtue of Ignorance),Movie,2014,R,119,"Comedy, Drama",7.7,626026
Frozen,Movie,2013,PG,102,"Animation, Adventure, Comedy",7.4,620220
Jaws,Movie,1975,PG,124,"Adventure, Thriller",8.1,600404
American Psycho,Movie,2000,R,102,"Crime, Drama, Horror",7.6,598117
Monty Python and the Holy Grail,Movie,1975,PG,91,"Adventure, Comedy, Fantasy",8.2,538546
It,Movie,2017,R,135,Horror,7.3,537240
Zodiac,Movie,2007,R,157,"Crime, Drama, Mystery",7.7,536068
Baby Driver,Movie,2017,R,113,"Action, Crime, Drama",7.6,528768
Don't Look Up,Movie,2021,R,138,"Comedy, Drama, Sci-Fi",7.2,525424
Rick and Morty,TV Show,2013,TV-MA,23,"Animation, Adventure, Comedy",9.2,502160
Lucy,Movie,2014,R,89,"Action, Sci-Fi, Thriller",6.4,493047
Dead Poets Society,Movie,1989,PG,128,"Comedy, Drama",8.1,484465
Spider-Man: Far from Home,Movie,2019,PG-13,129,"Action, Adventure, Sci-Fi",7.4,482390
The Witcher,TV Show,2019,TV-MA,60,"Action, Adventure, Drama",8.2,481837
Venom,Movie,2018,PG-13,112,"Action, Adventure, Sci-Fi",6.6,478585
Squid Game,TV Show,2021,TV-MA,55,"Action, Drama, Mystery",8.0,435160
The Queen's Gambit,TV Show,2020,TV-MA,60,Drama,8.6,432644
